Mark	Timestamp	Sync Time	Frame	Event	Comments
1	05-31-2015 10:30:43.390	3515927443.390773	3	right start ACQ	
2	05-31-2015 10:31:03.656	3515927463.656932	7	right start ACQ	-
3	05-31-2015 10:31:37.403	3515927497.403862	14	right end ACQ	-
4	05-31-2015 10:32:21.087	3515927541.087360	22	left start ACQ	-
5	05-31-2015 10:32:53.309	3515927573.309204	28	left end ACQ	-
6	05-31-2015 10:33:30.630	3515927610.630338	36	left start ACQ	-
7	05-31-2015 10:34:24.748	3515927664.748434	46	left end ACQ	-
8	05-31-2015 10:35:26.971	3515927726.971992	59	right start ACQ	-
9	05-31-2015 10:36:05.214	3515927765.214180	66	other	-
10	05-31-2015 10:36:16.331	3515927776.331816	68	right start ACQ	-
11	05-31-2015 10:36:58.652	3515927818.652236	77	right start ACQ	-
